Dataset,Category,Image_Name,Object,BBox_Width,BBox_Height,Image_Width,Image_Height
HRSC2016,13,100000001.bmp,100000001_13_1,777.999508,264.000294,1166,753
HRSC2016,13,100000002.bmp,100000002_13_1,448.00005000000004,720.000328,1146,818
HRSC2016,13,100000003.bmp,100000003_13_1,696.9997649999999,363.99964,1155,820
HRSC2016,13,100000004.bmp,100000004_13_1,728.0003839999999,172.999896,1168,804
HRSC2016,13,100000005.bmp,100000005_13_1,773.9997629999999,208.999655,1189,787
HRSC2016,13,100000006.bmp,100000006_13_1,467.99952399999995,714.0,1172,816
HRSC2016,1,100000008.bmp,100000008_1_1,77.999922,170.99994,1053,788
HRSC2016,13,100000009.bmp,100000009_13_1,186.999574,743.000181,1138,833
HRSC2016,13,100000010.bmp,100000010_13_1,762.0002559999999,254.99964500000002,1186,815
HRSC2016,13,100000011.bmp,100000011_13_1,739.000128,182.000092,1174,818
HRSC2016,1,100000011.bmp,100000011_1_1,196.000474,44.00022,1174,818
HRSC2016,9,100000622.bmp,100000622_9_1,349.00041699999997,96.999744,1153,688
HRSC2016,19,100000622.bmp,100000622_19_1,541.000283,186.999776,1153,688
HRSC2016,20,100000629.bmp,100000629_20_1,254.999862,154.999845,1209,819
HRSC2016,20,100000630.bmp,100000630_20_1,231.999647,209.000038,1177,817
HRSC2016,7,100000631.bmp,100000631_7_1,301.99941500000006,638.000058,1181,829
HRSC2016,7,100000632.bmp,100000632_7_1,180.00027599999999,378.999612,1194,828
HRSC2016,25,100000634.bmp,100000634_25_1,473.00052,92.0003,1186,835
HRSC2016,1,100000634.bmp,100000634_1_1,282.999762,77.00036,1186,835
HRSC2016,20,100000635.bmp,100000635_20_1,209.00017599999998,196.99967,1174,830
HRSC2016,20,100000636.bmp,100000636_20_1,224.99947600000002,162.999837,1157,819
HRSC2016,19,100000637.bmp,100000637_19_1,323.99964,454.999896,1191,837
HRSC2016,9,100000637.bmp,100000637_9_1,196.000488,300.000051,1191,837
HRSC2016,19,100000637.bmp,100000637_19_2,328.999458,453.999681,1191,837
