Dataset,Category,Image_Name,Object,BBox_Width,BBox_Height,Image_Width,Image_Height
AIR-SARShip-2.0,ship,1.tiff,1_ship_1,40,13,1000,1000
AIR-SARShip-2.0,ship,1.tiff,1_ship_2,43,29,1000,1000
AIR-SARShip-2.0,ship,1.tiff,1_ship_3,58,36,1000,1000
AIR-SARShip-2.0,ship,10.tiff,10_ship_1,56,77,1000,1000
AIR-SARShip-2.0,ship,10.tiff,10_ship_2,54,73,1000,1000
AIR-SARShip-2.0,ship,10.tiff,10_ship_3,43,54,1000,1000
AIR-SARShip-2.0,ship,10.tiff,10_ship_4,51,69,1000,1000
AIR-SARShip-2.0,ship,10.tiff,10_ship_5,68,89,1000,1000
AIR-SARShip-2.0,ship,100.tiff,100_ship_1,111,158,1000,1000
AIR-SARShip-2.0,ship,100.tiff,100_ship_2,111,182,1000,1000
AIR-SARShip-2.0,ship,100.tiff,100_ship_3,100,269,1000,1000
AIR-SARShip-2.0,ship,100.tiff,100_ship_4,77,128,1000,1000
AIR-SARShip-2.0,ship,101.tiff,101_ship_1,94,216,1000,1000
AIR-SARShip-2.0,ship,101.tiff,101_ship_2,123,270,1000,1000
AIR-SARShip-2.0,ship,102.tiff,102_ship_1,76,187,1000,1000
AIR-SARShip-2.0,ship,102.tiff,102_ship_2,100,158,1000,1000
AIR-SARShip-2.0,ship,102.tiff,102_ship_3,123,217,1000,1000
AIR-SARShip-2.0,ship,102.tiff,102_ship_4,110,198,1000,1000
AIR-SARShip-2.0,ship,103.tiff,103_ship_1,100,117,1000,1000
AIR-SARShip-2.0,ship,103.tiff,103_ship_2,94,334,1000,1000
AIR-SARShip-2.0,ship,103.tiff,103_ship_3,94,216,1000,1000
AIR-SARShip-2.0,ship,103.tiff,103_ship_4,88,217,1000,1000
AIR-SARShip-2.0,ship,103.tiff,103_ship_5,43,241,1000,1000
AIR-SARShip-2.0,ship,103.tiff,103_ship_6,82,246,1000,1000
AIR-SARShip-2.0,ship,103.tiff,103_ship_7,100,182,1000,1000
AIR-SARShip-2.0,ship,103.tiff,103_ship_8,99,187,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_1,87,299,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_2,135,205,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_3,77,216,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_4,123,270,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_5,94,305,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_6,88,275,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_7,99,340,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_8,70,281,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_9,64,287,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_10,100,205,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_11,60,187,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_12,87,170,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_13,94,168,1000,1000
AIR-SARShip-2.0,ship,104.tiff,104_ship_14,43,163,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_1,88,169,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_2,93,130,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_3,82,193,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_4,93,217,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_5,106,293,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_6,100,339,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_7,71,287,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_8,87,216,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_9,135,186,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_10,71,264,1000,1000
AIR-SARShip-2.0,ship,105.tiff,105_ship_11,94,171,1000,1000
AIR-SARShip-2.0,ship,106.tiff,106_ship_1,82,117,1000,1000
AIR-SARShip-2.0,ship,106.tiff,106_ship_2,88,91,1000,1000
AIR-SARShip-2.0,ship,106.tiff,106_ship_3,88,187,1000,1000
AIR-SARShip-2.0,ship,106.tiff,106_ship_4,93,193,1000,1000
AIR-SARShip-2.0,ship,106.tiff,106_ship_5,106,193,1000,1000
AIR-SARShip-2.0,ship,107.tiff,107_ship_1,70,241,1000,1000
AIR-SARShip-2.0,ship,107.tiff,107_ship_2,82,246,1000,1000
